case_id,family,n,seed,oracle_valid,oracle_reason,distinct_values,upper_ok,lower_ok,algorithm,run_index,time_ns,sorted_correct,error
flat_valid_n16_001,flat_valid,16,,True,,True,True,True,python_sort,2,250,True,
flat_valid_n16_001,flat_valid,16,,True,,True,True,True,python_sort,3,167,True,
flat_valid_n16_001,flat_valid,16,,True,,True,True,True,python_sort,4,166,True,
flat_valid_n16_001,flat_valid,16,,True,,True,True,True,python_sort,5,167,True,
flat_valid_n16_001,flat_valid,16,,True,,True,True,True,merge_sort,1,8667,True,
flat_valid_n16_001,flat_valid,16,,True,,True,True,True,merge_sort,2,8500,True,
flat_valid_n16_001,flat_valid,16,,True,,True,True,True,merge_sort,3,7708,True,
flat_valid_n16_001,flat_valid,16,,True,,True,True,True,merge_sort,4,7667,True,
flat_valid_n16_001,flat_valid,16,,True,,True,True,True,merge_sort,5,7542,True,
flat_valid_n16_001,flat_valid,16,,True,,True,True,True,quick_sort,1,6500,True,
flat_valid_n16_001,flat_valid,16,,True,,True,True,True,quick_sort,2,4583,True,
flat_valid_n16_001,flat_valid,16,,True,,True,True,True,quick_sort,3,3916,True,
flat_valid_n16_001,flat_valid,16,,True,,True,True,True,quick_sort,4,3791,True,
flat_valid_n16_001,flat_valid,16,,True,,True,True,True,quick_sort,5,3750,True,
flat_valid_n16_001,flat_valid,16,,True,,True,True,True,sort_plus_laminarity_check,1,12917,True,
flat_valid_n16_001,flat_valid,16,,True,,True,True,True,sort_plus_laminarity_check,2,10792,True,
flat_valid_n16_001,flat_valid,16,,True,,True,True,True,sort_plus_laminarity_check,3,10625,True,
flat_valid_n16_001,flat_valid,16,,True,,True,True,True,sort_plus_laminarity_check,4,10583,True,
flat_valid_n16_001,flat_valid,16,,True,,True,True,True,sort_plus_laminarity_check,5,10542,True,
flat_valid_n16_002,flat_valid,16,,True,,True,True,True,python_sort,1,334,True,
flat_valid_n16_002,flat_valid,16,,True,,True,True,True,python_sort,2,167,True,
flat_valid_n16_002,flat_valid,16,,True,,True,True,True,python_sort,3,166,True,
flat_valid_n16_002,flat_valid,16,,True,,True,True,True,python_sort,4,167,True,
flat_valid_n16_002,flat_valid,16,,True,,True,True,True,python_sort,5,208,True,
flat_valid_n16_002,flat_valid,16,,True,,True,True,True,merge_sort,1,8250,True,
flat_valid_n16_002,flat_valid,16,,True,,True,True,True,merge_sort,2,7958,True,
flat_valid_n16_002,flat_valid,16,,True,,True,True,True,merge_sort,3,7916,True,
flat_valid_n16_002,flat_valid,16,,True,,True,True,True,merge_sort,4,7583,True,
flat_valid_n16_002,flat_valid,16,,True,,True,True,True,merge_sort,5,7541,True,
flat_valid_n16_002,flat_valid,16,,True,,True,True,True,quick_sort,1,4042,True,
flat_valid_n16_002,flat_valid,16,,True,,True,True,True,quick_sort,2,3833,True,
flat_valid_n16_002,flat_valid,16,,True,,True,True,True,quick_sort,3,3792,True,
flat_valid_n16_002,flat_valid,16,,True,,True,True,True,quick_sort,4,3625,True,
flat_valid_n16_002,flat_valid,16,,True,,True,True,True,quick_sort,5,3667,True,
flat_valid_n16_002,flat_valid,16,,True,,True,True,True,sort_plus_laminarity_check,1,11791,True,
flat_valid_n16_002,flat_valid,16,,True,,True,True,True,sort_plus_laminarity_check,2,10709,True,
flat_valid_n16_002,flat_valid,16,,True,,True,True,True,sort_plus_laminarity_check,3,10583,True,
flat_valid_n16_002,flat_valid,16,,True,,True,True,True,sort_plus_laminarity_check,4,10417,True,
flat_valid_n16_002,flat_valid,16,,True,,True,True,True,sort_plus_laminarity_check,5,10500,True,
flat_valid_n16_003,flat_valid,16,,True,,True,True,True,python_sort,1,333,True,
flat_valid_n16_003,flat_valid,16,,True,,True,True,True,python_sort,2,250,True,
flat_valid_n16_003,flat_valid,16,,True,,True,True,True,python_sort,3,167,True,
flat_valid_n16_003,flat_valid,16,,True,,True,True,True,python_sort,4,209,True,
flat_valid_n16_003,flat_valid,16,,True,,True,True,True,python_sort,5,166,True,
flat_valid_n16_003,flat_valid,16,,True,,True,True,True,merge_sort,1,8250,True,
flat_valid_n16_003,flat_valid,16,,True,,True,True,True,merge_sort,2,8000,True,
flat_valid_n16_003,flat_valid,16,,True,,True,True,True,merge_sort,3,7959,True,
flat_valid_n16_003,flat_valid,16,,True,,True,True,True,merge_sort,4,7583,True,
flat_valid_n16_003,flat_valid,16,,True,,True,True,True,merge_sort,5,7500,True,
flat_valid_n16_003,flat_valid,16,,True,,True,True,True,quick_sort,1,4166,True,
