case_id,family,n,algorithm,measured_run_count,median_time_ns,q1_time_ns,q3_time_ns,iqr_time_ns,relative_iqr,mean_time_ns,stdev_time_ns
incremental_valid_n256_006,incremental_valid,256,simplified_jordan_reference,20,7760271.0,7748041.5,7806041.5,58000.0,0.007473965793204902,7776050.0,41857.43432929901
incremental_valid_n256_006,incremental_valid,256,simplified_jordan_paper_ordinary_list,20,6183229.5,6125625.0,6218000.5,92375.5,0.01493968483621706,6178671.0,71835.40128728497
incremental_valid_n256_007,incremental_valid,256,python_sort,20,5208.5,5104.0,5375.0,271.0,0.05203033502927906,5314.55,405.2047533103026
incremental_valid_n256_007,incremental_valid,256,simplified_jordan_reference,20,7941583.5,7904437.5,7980437.5,76000.0,0.009569879860861502,7941500.05,44149.886568936956
incremental_valid_n256_007,incremental_valid,256,simplified_jordan_paper_ordinary_list,20,6873416.5,6838729.0,6927125.0,88396.0,0.012860562138203031,6886389.65,72846.30137724726
incremental_valid_n256_008,incremental_valid,256,python_sort,20,5208.0,5146.0,5375.0,229.0,0.043970814132104456,5595.9,1195.0619406981646
incremental_valid_n256_008,incremental_valid,256,simplified_jordan_reference,20,7966999.5,7942083.5,7989646.0,47562.5,0.005969938870963905,7973187.45,40693.58697112256
incremental_valid_n256_008,incremental_valid,256,simplified_jordan_paper_ordinary_list,20,7256021.5,7193021.0,7305333.5,112312.5,0.015478523595885155,7256760.7,86022.53603813119
incremental_valid_n256_009,incremental_valid,256,python_sort,20,5312.5,5250.0,5479.0,229.0,0.043105882352941174,5352.0,168.4411501166849
incremental_valid_n256_009,incremental_valid,256,simplified_jordan_reference,20,7946916.5,7914958.0,7960291.5,45333.5,0.005704539616088832,7941779.1,33133.20511590497
incremental_valid_n256_009,incremental_valid,256,simplified_jordan_paper_ordinary_list,20,6804812.5,6749562.5,6861896.0,112333.5,0.016507949337325606,6803833.45,73586.16985153135
incremental_valid_n256_010,incremental_valid,256,python_sort,20,4958.0,4729.5,5042.0,312.5,0.06302944735780557,5075.15,702.6577571508127
incremental_valid_n256_010,incremental_valid,256,simplified_jordan_reference,20,7856083.5,7829396.0,7887187.5,57791.5,0.0073562736444947405,7860404.15,37501.36643303464
incremental_valid_n256_010,incremental_valid,256,simplified_jordan_paper_ordinary_list,20,6637687.0,6603270.5,6697916.0,94645.5,0.0142588073224905,6654679.0,63681.70569158362
