scope,family,n,comparison,case_count,median_ratio,q1_ratio,q3_ratio,iqr_ratio
overall,,,paper/reference,35,1.3542391532476235,0.7377178381865634,2.221881400219271,1.4841635620327074
overall,,,paper/python,35,1076.4578163771712,912.5071304347827,1661.3464021748364,748.8392717400537
overall,,,reference/python,35,779.3170910423155,412.4059130434783,2827.133421119701,2414.7275080762224
size,,32,paper/reference,7,3.095547661466315,2.58262100213363,3.344896264177044,0.7622752620434139
size,,32,paper/python,7,703.5636923076923,677.8778248587571,971.8241673121611,293.946342453404
size,,32,reference/python,7,227.41692987997473,219.27458033573143,274.560805577072,55.28622524134059
size,,64,paper/reference,7,2.148361164223497,1.7275233845985478,2.221881400219271,0.494358015620723
size,,64,paper/python,7,912.5071304347827,866.9698216735254,1076.4578163771712,209.48799470364577
size,,64,reference/python,7,412.5766242937853,404.3313338038109,524.6002570694087,120.26892326559783
size,,128,paper/reference,7,1.3542391532476235,1.115779731688978,1.3652880432278744,0.24950831153889652
size,,128,paper/python,7,1061.6694352159468,1004.4963555555555,1063.992306283202,59.49595072764646
size,,128,reference/python,7,774.2864525655224,742.9108718672785,953.1453064723532,210.23443460507474
size,,256,paper/reference,7,0.8176289024310688,0.7377178381865634,0.8571481475809122,0.11943030939434873
size,,256,paper/python,7,1295.3741225573895,1288.9437108433735,1338.615105799373,49.6713949559994
size,,256,reference/python,7,1557.377449059561,1511.260481881996,1786.8895409767345,275.6290590947385
size,,512,paper/reference,7,0.5639997427101626,0.5197663110285333,0.5718067170432327,0.05204040601469939
size,,512,paper/python,7,1690.6289034818349,1661.3464021748364,1810.7349397590363,149.38853758419987
size,,512,reference/python,7,3089.7029385822384,2923.5300563417773,3252.671186280531,329.1411299387537
family,flat_valid,,paper/reference,5,0.9196215791993428,0.39661991736650337,2.0858578649668527,1.6892379476003492
family,flat_valid,,paper/python,5,3613.170146137787,1839.017263579188,5493.893534224202,3654.8762706450143
family,flat_valid,,reference/python,5,3928.9749478079334,978.0903213264722,15416.959423272163,14438.869101945691
family,incremental_valid,,paper/reference,25,1.3624324214188386,0.8125596299942113,2.2219747413005435,1.4094151113063322
family,incremental_valid,,paper/python,25,1061.6694352159468,889.738476054154,1316.9946141783812,427.25613812422716
family,incremental_valid,,reference/python,25,772.9845581395349,403.9403582599301,1569.58325617535,1165.6428979154198
family,nested_valid,,paper/reference,5,1.115779731688978,0.6287420746075484,2.155072193366089,1.5263301187585405
family,nested_valid,,paper/python,5,1063.5002143163308,792.0685182562852,1504.424596364686,712.3560781084009
family,nested_valid,,reference/python,5,953.1453064723532,393.5384759923315,2519.7803636286326,2126.2418876363013
family_size,flat_valid,32,paper/reference,1,2.5562154700436563,2.5562154700436563,2.5562154700436563,0.0
family_size,flat_valid,32,paper/python,1,1407.089193825043,1407.089193825043,1407.089193825043,0.0
family_size,flat_valid,32,reference/python,1,550.4579759862779,550.4579759862779,550.4579759862779,0.0
family_size,flat_valid,64,paper/reference,1,1.6155002598900494,1.6155002598900494,1.6155002598900494,0.0
family_size,flat_valid,64,paper/python,1,2270.945333333333,2270.945333333333,2270.945333333333,0.0
family_size,flat_valid,64,reference/python,1,1405.7226666666666,1405.7226666666666,1405.7226666666666,0.0
family_size,flat_valid,128,paper/reference,1,0.9196215791993428,0.9196215791993428,0.9196215791993428,0.0
family_size,flat_valid,128,paper/python,1,3613.170146137787,3613.170146137787,3613.170146137787,0.0
family_size,flat_valid,128,reference/python,1,3928.9749478079334,3928.9749478079334,3928.9749478079334,0.0
family_size,flat_valid,256,paper/reference,1,0.5128835228207109,0.5128835228207109,0.5128835228207109,0.0
family_size,flat_valid,256,paper/python,1,5168.606488011284,5168.606488011284,5168.606488011284,0.0
family_size,flat_valid,256,reference/python,1,10077.544428772919,10077.544428772919,10077.544428772919,0.0
family_size,flat_valid,512,paper/reference,1,0.2803563119122959,0.2803563119122959,0.2803563119122959,0.0
family_size,flat_valid,512,paper/python,1,5819.18058043712,5819.18058043712,5819.18058043712,0.0
family_size,flat_valid,512,reference/python,1,20756.374417771407,20756.374417771407,20756.374417771407,0.0
family_size,incremental_valid,32,paper/reference,5,3.1154012303485987,3.0658548230316383,3.4422276264150713,0.37637280338343304
family_size,incremental_valid,32,paper/python,5,703.5636923076923,657.3978629667695,866.2551032391507,208.8572402723812
family_size,incremental_valid,32,reference/python,5,227.28246153846155,213.66129016786573,250.98886772852336,37.32757756065763
family_size,incremental_valid,64,paper/reference,5,2.2126431789026766,2.1375238787191444,2.2219747413005435,0.08445086258139911
family_size,incremental_valid,64,paper/python,5,912.5071304347827,863.4279242453724,996.5770720303935,133.1491477850211
family_size,incremental_valid,64,reference/python,5,412.4059130434783,403.9403582599301,448.508121907025,44.567763647094864
family_size,incremental_valid,128,paper/reference,5,1.3624324214188386,1.3300138712780956,1.3682232615052006,0.03820939022710501
family_size,incremental_valid,128,paper/python,5,1046.805953488372,987.2904474565635,1062.8308707495744,75.54042329301092
family_size,incremental_valid,128,reference/python,5,772.9845581395349,740.0962359336393,776.8017718039189,36.70553587027962
family_size,incremental_valid,256,paper/reference,5,0.8398894893407169,0.8125596299942113,0.8583398658300512,0.0457802358358399
family_size,incremental_valid,256,paper/python,5,1293.3164556962026,1235.002224689662,1316.9946141783812,81.99238948871925
family_size,incremental_valid,256,reference/python,5,1534.6586987951807,1486.9459325045734,1569.58325617535,82.6373236707766
family_size,incremental_valid,512,paper/reference,5,0.5665848119724772,0.5605764648422555,0.5797250773276661,0.019148612485410554
family_size,incremental_valid,512,paper/python,5,1681.886465024982,1645.100245140477,1776.663301085126,131.56305594464902
family_size,incremental_valid,512,reference/python,5,2968.463731263383,2875.331738730739,3128.1967551966463,252.8650164659075
family_size,nested_valid,32,paper/reference,1,2.58262100213363,2.58262100213363,2.58262100213363,0.0
family_size,nested_valid,32,paper/python,1,677.8778248587571,677.8778248587571,677.8778248587571,0.0
family_size,nested_valid,32,reference/python,1,262.47669491525426,262.47669491525426,262.47669491525426,0.0
family_size,nested_valid,64,paper/reference,1,1.7275233845985478,1.7275233845985478,1.7275233845985478,0.0
family_size,nested_valid,64,paper/python,1,906.2592116538132,906.2592116538132,906.2592116538132,0.0
family_size,nested_valid,64,reference/python,1,524.6002570694087,524.6002570694087,524.6002570694087,0.0
family_size,nested_valid,128,paper/reference,1,1.115779731688978,1.115779731688978,1.115779731688978,0.0
family_size,nested_valid,128,paper/python,1,1063.5002143163308,1063.5002143163308,1063.5002143163308,0.0
family_size,nested_valid,128,reference/python,1,953.1453064723532,953.1453064723532,953.1453064723532,0.0
family_size,nested_valid,256,paper/reference,1,0.7377178381865634,0.7377178381865634,0.7377178381865634,0.0
family_size,nested_valid,256,paper/python,1,1318.2202892475373,1318.2202892475373,1318.2202892475373,0.0
family_size,nested_valid,256,reference/python,1,1786.8895409767345,1786.8895409767345,1786.8895409767345,0.0
family_size,nested_valid,512,paper/reference,1,0.5197663110285333,0.5197663110285333,0.5197663110285333,0.0
family_size,nested_valid,512,paper/python,1,1690.6289034818349,1690.6289034818349,1690.6289034818349,0.0
family_size,nested_valid,512,reference/python,1,3252.671186280531,3252.671186280531,3252.671186280531,0.0
