n,counter,case_count,counter_min,counter_max,runtime_spearman
32,paper_sibling_scan_checks,7,0.0,25.0,0.8829187134416477
32,paper_sibling_list_splits,7,0.0,20.0,0.9819805060619657
32,paper_split_items_copied,7,0.0,25.0,0.8829187134416477
32,paper_split_items_transferred,7,0.0,13.0,0.9549937104572925
32,paper_invariant_checks,7,30.0,30.0,
64,paper_sibling_scan_checks,7,0.0,43.0,0.9819805060619657
64,paper_sibling_list_splits,7,0.0,29.0,0.9456108576893003
64,paper_split_items_copied,7,0.0,43.0,0.9819805060619657
64,paper_split_items_transferred,7,0.0,25.0,0.8001322641986387
64,paper_invariant_checks,7,62.0,62.0,
128,paper_sibling_scan_checks,7,0.0,81.0,0.5225437283634242
128,paper_sibling_list_splits,7,0.0,54.0,0.32732683535398854
128,paper_split_items_copied,7,0.0,81.0,0.5225437283634242
128,paper_split_items_transferred,7,0.0,40.0,0.3423562358243124
128,paper_invariant_checks,7,126.0,126.0,
256,paper_sibling_scan_checks,7,0.0,160.0,0.4504687313477795
256,paper_sibling_list_splits,7,0.0,103.0,0.41443123283995714
256,paper_split_items_copied,7,0.0,160.0,0.4504687313477795
256,paper_split_items_transferred,7,0.0,49.0,0.6666937223947136
256,paper_invariant_checks,7,254.0,254.0,
512,paper_sibling_scan_checks,7,0.0,297.0,0.7387687194103584
512,paper_sibling_list_splits,7,0.0,200.0,0.6666937223947136
512,paper_split_items_copied,7,0.0,297.0,0.7387687194103584
512,paper_split_items_transferred,7,0.0,66.0,0.7387687194103584
512,paper_invariant_checks,7,510.0,510.0,
