family,n,algorithm,case_count,median_case_time_ns,q1_case_time_ns,q3_case_time_ns,iqr_case_time_ns,median_relative_iqr,max_relative_iqr
flat_valid,,python_sort,5,479.0,333.25,1052.25,719.0,0.112,0.2687208885704049
flat_valid,,simplified_jordan_reference,5,1881979.0,343802.25,18055249.75,17711447.5,0.01405860532981505,0.031154472963414215
flat_valid,,simplified_jordan_paper_ordinary_list,5,1730708.5,630885.5,5892604.25,5261718.75,0.017222783580875863,0.02674249606089929
incremental_valid,,python_sort,25,2729.5,1312.5,5323.25,4010.75,0.05861581920903955,0.308506883162725
incremental_valid,,simplified_jordan_reference,25,2097542.0,578573.0,7963448.0,7384875.0,0.013400741413651265,0.04583320601887217
incremental_valid,,simplified_jordan_paper_ordinary_list,25,2825146.0,1241250.25,6830104.25,5588854.0,0.014630422448196364,0.03467296037257322
nested_valid,,python_sort,5,2333.0,937.5,7677.25,6739.75,0.23231890270038577,0.3232026828757074
nested_valid,,simplified_jordan_reference,5,2223688.0,399021.0,21474947.75,21075926.75,0.00897039554224615,0.024228673727986462
nested_valid,,simplified_jordan_paper_ordinary_list,5,2481146.0,768771.0,12091000.0,11322229.0,0.01573261067276835,0.020801726921547706
