n,algorithm,case_count,nesting_density_spearman,max_depth_spearman,containment_pair_density_spearman
32,python_sort,7,0.5946187253790689,0.4447495899966607,0.5
32,simplified_jordan_reference,7,0.9369749612033813,0.9636241116594315,1.0
32,simplified_jordan_paper_ordinary_list,7,-0.10811249552346708,-0.03706246583305506,-0.10714285714285714
64,python_sort,7,0.036369648372665396,-0.0900937462695559,-0.07142857142857142
64,simplified_jordan_reference,7,0.9092412093166349,0.6666937223947136,0.6428571428571429
64,simplified_jordan_paper_ordinary_list,7,0.4364357804719847,0.27028123880866767,0.21428571428571427
128,python_sort,7,0.0,0.16216874328520062,0.0
128,simplified_jordan_reference,7,0.7637626158259733,0.8829187134416477,0.75
128,simplified_jordan_paper_ordinary_list,7,0.5455447255899809,0.3964124835860459,0.4642857142857143
256,python_sort,7,0.32732683535398854,0.05455447255899809,0.0
256,simplified_jordan_reference,7,0.6728384948943098,0.8728715609439694,0.8571428571428571
256,simplified_jordan_paper_ordinary_list,7,0.036369648372665396,0.4364357804719847,0.4642857142857143
512,python_sort,7,0.4183300132670378,-0.10714285714285714,-0.03571428571428571
512,simplified_jordan_reference,7,0.4183300132670378,0.75,0.8214285714285714
512,simplified_jordan_paper_ordinary_list,7,-0.05976143046671969,0.2857142857142857,0.21428571428571427
