case_id,family,n,algorithm,measured_run_count,median_time_ns,q1_time_ns,q3_time_ns,iqr_time_ns,relative_iqr,mean_time_ns,stdev_time_ns
flat_valid_n32_001,flat_valid,32,python_sort,10,291.5,291.0,292.0,1.0,0.003430531732418525,287.4,23.57116882973774
flat_valid_n32_001,flat_valid,32,simplified_jordan_reference,10,160458.5,156417.0,161416.0,4999.0,0.031154472963414215,161425.0,6875.925311468187
flat_valid_n32_001,flat_valid,32,simplified_jordan_paper_ordinary_list,10,410166.5,404209.0,414083.0,9874.0,0.024073150781450947,409791.7,6281.697170705099
incremental_valid_n32_001,incremental_valid,32,python_sort,10,812.5,750.0,834.0,84.0,0.10338461538461538,796.0,53.54126134736337
incremental_valid_n32_001,incremental_valid,32,simplified_jordan_reference,10,184667.0,180333.0,185375.0,5042.0,0.02730319981371875,183875.0,2998.577885153783
incremental_valid_n32_001,incremental_valid,32,simplified_jordan_paper_ordinary_list,10,571645.5,564292.0,575708.0,11416.0,0.019970418729789705,569220.8,8184.591360192232
incremental_valid_n32_002,incremental_valid,32,python_sort,10,875.0,833.0,875.0,42.0,0.048,887.5,87.98642572073894
incremental_valid_n32_002,incremental_valid,32,simplified_jordan_reference,10,182042.0,179541.0,185625.0,6084.0,0.0334208589226662,183141.6,5374.118887987334
incremental_valid_n32_002,incremental_valid,32,simplified_jordan_paper_ordinary_list,10,552709.0,550875.0,555792.0,4917.0,0.008896182258656906,558737.6,18772.483409974764
incremental_valid_n32_003,incremental_valid,32,python_sort,10,645.5,625.0,708.0,83.0,0.12858249419054996,704.1,181.42182277162186
incremental_valid_n32_003,incremental_valid,32,simplified_jordan_reference,10,177229.0,176583.0,178958.0,2375.0,0.013400741413651265,178783.3,5127.452996696638
incremental_valid_n32_003,incremental_valid,32,simplified_jordan_paper_ordinary_list,10,627312.5,618291.0,636917.0,18626.0,0.029691740559928265,630116.6,15886.8817386477
incremental_valid_n32_004,incremental_valid,32,python_sort,10,834.0,791.0,875.0,84.0,0.10071942446043165,825.1,58.17874755154726
incremental_valid_n32_004,incremental_valid,32,simplified_jordan_reference,10,182875.0,178708.0,184625.0,5917.0,0.03235543403964457,182975.0,4805.827874108222
incremental_valid_n32_004,incremental_valid,32,simplified_jordan_paper_ordinary_list,10,569729.0,566708.0,576583.0,9875.0,0.017332802086606088,572683.1,11046.488727695832
incremental_valid_n32_005,incremental_valid,32,python_sort,10,791.5,750.0,833.0,83.0,0.10486418193303854,804.0,92.05795276165263
incremental_valid_n32_005,incremental_valid,32,simplified_jordan_reference,10,180000.5,179667.0,187917.0,8250.0,0.04583320601887217,183900.0,7647.66083336743
incremental_valid_n32_005,incremental_valid,32,simplified_jordan_paper_ordinary_list,10,602083.0,599291.0,620167.0,20876.0,0.03467296037257322,608183.4,12618.168886349733
