execution_mode,case_count,median_overhead_ns,median_ratio,q1_ratio,q3_ratio,iqr_ratio
checked,20,797228.5,1.7891742113555678,1.155695386742865,4.262919085205643,3.1072236984627777
instrumented,20,300083.5,1.126464827306817,1.114707655163393,1.134764055200576,0.02005640003718301
trace_only,20,239582.5,1.1020090595900478,1.0906650512613285,1.113972584515351,0.02330753325402246
counters_only,20,26583.0,1.0127837391114207,1.0072848231238507,1.01756034572173,0.010275522597879228
minimal,20,0.0,1.0,1.0,1.0,0.0
