family,n,algorithm,case_count,median_case_time_ns,q1_case_time_ns,q3_case_time_ns,iqr_case_time_ns,median_relative_iqr,max_relative_iqr
flat_valid,,python_sort,5,500.0,312.0,979.25,667.25,0.1336,0.1460832745236415
flat_valid,,simplified_jordan_reference,5,1883896.0,339833.0,17970406.5,17630573.5,0.01536266882093423,0.02822591871900609
flat_valid,,simplified_jordan_paper_ordinary_list,5,1731396.0,622906.25,5869291.75,5246385.5,0.014022697130256861,0.015827908098239814
incremental_valid,,python_sort,50,2645.5,1395.5,5250.0,3854.5,0.05414270016039928,0.2519959355494266
incremental_valid,,simplified_jordan_reference,50,2077958.75,578728.5,7943042.0,7364313.5,0.011933432432802685,0.0661127859452539
incremental_valid,,simplified_jordan_paper_ordinary_list,50,2836749.75,1267291.5,6873416.5,5606125.0,0.016048038957242605,0.02423295171346203
nested_valid,,python_sort,5,2166.5,895.5,7468.5,6573.0,0.07075142201377108,0.14839300244100895
nested_valid,,simplified_jordan_reference,5,2215437.5,395062.5,21438958.25,21043895.75,0.007259514204305019,0.01881812035158891
nested_valid,,simplified_jordan_paper_ordinary_list,5,2435645.5,765969.0,12122250.0,11356281.0,0.01462714732258126,0.017840610333186985
