scope,family,n,comparison,case_count,median_ratio,q1_ratio,q3_ratio,iqr_ratio
overall,,,paper/reference,60,1.3510644671490875,0.8101783581438415,2.2351996105768466,1.425021252433005
overall,,,paper/python,60,1117.902851953559,897.8935012550138,1534.033733066783,636.1402318117692
overall,,,reference/python,60,784.0158095238095,408.08440819956064,1657.5289745292516,1249.444566329691
size,,32,paper/reference,12,3.226420416210818,3.075149160003412,3.3132662269851845,0.23811706698177248
size,,32,paper/python,12,765.8742461754077,717.6821586124684,784.9953645174885,67.31320590502014
size,,32,reference/python,12,231.8494318181818,227.91529709228826,241.667,13.751702907711746
size,,64,paper/reference,12,2.2023936977323695,2.079637609471167,2.2351996105768466,0.15556200110567975
size,,64,paper/python,12,915.0247175654167,882.7535706447188,942.0538383838384,59.30026773911959
size,,64,reference/python,12,415.1371826773577,402.78480795610426,434.0932554112554,31.308447455151168
size,,128,paper/reference,12,1.3510644671490875,1.3038299927016772,1.3717007781237747,0.06787078542209746
size,,128,paper/python,12,1072.8149673029673,1033.5863384505117,1126.6770591375853,93.0907206870736
size,,128,reference/python,12,781.8683258723258,779.6838595129769,833.4958597778659,53.81200026488898
size,,256,paper/reference,12,0.8505969107881013,0.8101783581438415,0.864915219341581,0.05473686119773946
size,,256,paper/python,12,1302.7073428571427,1269.3263646915234,1339.3987985628535,70.07243387133008
size,,256,reference/python,12,1527.2485246140327,1500.8978158909035,1573.47791224284,72.58009635193639
size,,512,paper/reference,12,0.5671874735791151,0.5564158541250138,0.5767897516495724,0.020373897524558537
size,,512,paper/python,12,1768.2906932522433,1731.5928220558017,1821.4703250534023,89.87750299760069
size,,512,reference/python,12,3113.8376318997584,3050.8818278482145,3178.488514343463,127.6066864952486
family,flat_valid,,paper/reference,5,0.9190507331614909,0.39553889719822766,2.079909886987208,1.6843709897889803
family,flat_valid,,paper/python,5,3462.792,1959.9332296213738,5804.8396455892735,3844.9064159678996
family,flat_valid,,reference/python,5,3767.792,1055.5454165505712,16552.92346704305,15497.378050492478
family,incremental_valid,,paper/reference,50,1.3584742767145421,0.8305736241087676,2.2385346523207796,1.407961028212012
family,incremental_valid,,paper/python,50,1051.7710249100573,877.8473333333334,1338.7831787010891,460.93584536775575
family,incremental_valid,,reference/python,50,781.5659277222239,399.93415637860085,1537.1951809560674,1137.2610245774665
family,nested_valid,,paper/reference,5,1.0993970716844867,0.6261440148458418,2.1558370889269267,1.5296930740810848
family,nested_valid,,paper/python,5,1124.2305561966305,826.0378108108108,1530.0517739790785,704.0139631682677
family,nested_valid,,reference/python,5,1022.5882760212324,407.7950450450451,2580.1955095022586,2172.4004644572133
family_size,flat_valid,32,paper/reference,1,2.5507952074097675,2.5507952074097675,2.5507952074097675,0.0
family_size,flat_valid,32,paper/python,1,1416.7388316151203,1416.7388316151203,1416.7388316151203,0.0
family_size,flat_valid,32,reference/python,1,555.4106529209622,555.4106529209622,555.4106529209622,0.0
