family,n,execution_mode,case_count,median_ratio,q1_ratio,q3_ratio
flat_valid,32,checked,1,1.1647645590284543,1.1647645590284543,1.1647645590284543
flat_valid,32,instrumented,1,1.1510539416646137,1.1510539416646137,1.1510539416646137
flat_valid,32,trace_only,1,1.1351979380761015,1.1351979380761015,1.1351979380761015
flat_valid,32,counters_only,1,1.01026366006199,1.01026366006199,1.01026366006199
flat_valid,32,minimal,1,1.0,1.0,1.0
flat_valid,64,checked,1,1.167589092030423,1.167589092030423,1.167589092030423
flat_valid,64,instrumented,1,1.1779122350143756,1.1779122350143756,1.1779122350143756
flat_valid,64,trace_only,1,1.132570795032628,1.132570795032628,1.132570795032628
flat_valid,64,counters_only,1,1.011214375219466,1.011214375219466,1.011214375219466
flat_valid,64,minimal,1,1.0,1.0,1.0
flat_valid,128,checked,1,1.159568214610164,1.159568214610164,1.159568214610164
flat_valid,128,instrumented,1,1.1588380270400256,1.1588380270400256,1.1588380270400256
flat_valid,128,trace_only,1,1.1242627050713407,1.1242627050713407,1.1242627050713407
flat_valid,128,counters_only,1,1.005896221877839,1.005896221877839,1.005896221877839
flat_valid,128,minimal,1,1.0,1.0,1.0
flat_valid,256,checked,1,1.1518225588755657,1.1518225588755657,1.1518225588755657
flat_valid,256,instrumented,1,1.143830560353556,1.143830560353556,1.143830560353556
flat_valid,256,trace_only,1,1.1167789815581988,1.1167789815581988,1.1167789815581988
flat_valid,256,counters_only,1,1.0038319237834614,1.0038319237834614,1.0038319237834614
flat_valid,256,minimal,1,1.0,1.0,1.0
incremental_valid,32,checked,3,1.5480152229530644,1.50995859282949,2.030333199758071
incremental_valid,32,instrumented,3,1.1331634194544462,1.1301693317623296,1.1344036777169084
incremental_valid,32,trace_only,3,1.1114515856318827,1.1064911631038545,1.1150630583093355
incremental_valid,32,counters_only,3,1.0147254075299843,1.0140272681366773,1.0388380445577208
incremental_valid,32,minimal,3,1.0,1.0,1.0
incremental_valid,64,checked,3,2.5906605867465053,2.4875449138325454,2.6303828875285986
incremental_valid,64,instrumented,3,1.128869910019826,1.1240597445938079,1.1351244326842436
incremental_valid,64,trace_only,3,1.1114087279892717,1.1019908376523297,1.1128821107213664
incremental_valid,64,counters_only,3,1.0178435260027452,1.0172771654407147,1.0219910766159228
incremental_valid,64,minimal,3,1.0,1.0,1.0
incremental_valid,128,checked,3,4.286985040395234,4.238853130016051,4.302403646426828
incremental_valid,128,instrumented,3,1.121856607811664,1.117814227576103,1.1342811434271778
incremental_valid,128,trace_only,3,1.0919384697699304,1.0893916327527267,1.098422034774152
incremental_valid,128,counters_only,3,1.0189374572684355,1.0134874264312466,1.0224162650376072
incremental_valid,128,minimal,3,1.0,1.0,1.0
incremental_valid,256,checked,3,8.427693094930305,7.98870335237988,8.785980495660732
incremental_valid,256,instrumented,3,1.0924930316347532,1.0589560705019236,1.1059569341627495
incremental_valid,256,trace_only,3,1.0792791004415259,1.0550237094032389,1.0828806260027584
incremental_valid,256,counters_only,3,1.0073775867433028,1.0002086938738992,1.012080051791595
incremental_valid,256,minimal,3,1.0,1.0,1.0
nested_valid,32,checked,1,1.1285061838169914,1.1285061838169914,1.1285061838169914
nested_valid,32,instrumented,1,1.1129611436175173,1.1129611436175173,1.1129611436175173
nested_valid,32,trace_only,1,1.0983861139264905,1.0983861139264905,1.0983861139264905
nested_valid,32,counters_only,1,0.9991574588211886,0.9991574588211886,0.9991574588211886
nested_valid,32,minimal,1,1.0,1.0,1.0
nested_valid,64,checked,1,1.1393118014608818,1.1393118014608818,1.1393118014608818
nested_valid,64,instrumented,1,1.1215932412215084,1.1215932412215084,1.1215932412215084
nested_valid,64,trace_only,1,1.1020272815277656,1.1020272815277656,1.1020272815277656
nested_valid,64,counters_only,1,1.010472586464842,1.010472586464842,1.010472586464842
nested_valid,64,minimal,1,1.0,1.0,1.0
nested_valid,128,checked,1,1.1139735136380284,1.1139735136380284,1.1139735136380284
nested_valid,128,instrumented,1,1.116454166709269,1.116454166709269,1.116454166709269
nested_valid,128,trace_only,1,1.0934991793305575,1.0934991793305575,1.0934991793305575
nested_valid,128,counters_only,1,1.0071920595043986,1.0071920595043986,1.0071920595043986
nested_valid,128,minimal,1,1.0,1.0,1.0
nested_valid,256,checked,1,1.0901671431801174,1.0901671431801174,1.0901671431801174
nested_valid,256,instrumented,1,1.091818883953977,1.091818883953977,1.091818883953977
nested_valid,256,trace_only,1,1.082619386557451,1.082619386557451,1.082619386557451
nested_valid,256,counters_only,1,1.0151396239696029,1.0151396239696029,1.0151396239696029
nested_valid,256,minimal,1,1.0,1.0,1.0
