component,comparison,case_count,median_overhead_ns,median_ratio,q1_ratio,q3_ratio,iqr_ratio
validation,checked / instrumented,20,509625.0,1.5779403798602543,1.009449203554758,3.778949962745067,2.769500759190309
trace,trace_only / minimal,20,239582.5,1.1020090595900478,1.0906650512613285,1.113972584515351,0.02330753325402246
counters,counters_only / minimal,20,26583.0,1.0127837391114207,1.0072848231238507,1.01756034572173,0.010275522597879228
combined_instrumentation,instrumented / minimal,20,300083.5,1.126464827306817,1.114707655163393,1.134764055200576,0.02005640003718301
