family,n,algorithm,case_count,median_case_time_ns,q1_case_time_ns,q3_case_time_ns,iqr_case_time_ns,median_relative_iqr,max_relative_iqr
,32,python_sort,7,791.5,645.5,834.0,188.5,0.10338461538461538,0.12858249419054996
,32,simplified_jordan_reference,7,182042.0,177229.0,184667.0,7438.0,0.031154472963414215,0.04583320601887217
,32,simplified_jordan_paper_ordinary_list,7,569729.0,479937.5,602083.0,122145.5,0.019970418729789705,0.03467296037257322
,64,python_sort,7,1416.0,1167.0,1437.5,270.5,0.05857445306986592,0.286203941730934
,64,simplified_jordan_reference,7,585687.5,572937.5,592833.5,19896.0,0.020254089653707244,0.028534789223478886
,64,simplified_jordan_paper_ordinary_list,7,1264042.0,1057604.5,1301437.5,243833.0,0.017222783580875863,0.02304879485021443
,128,python_sort,7,2709.0,2333.0,2812.5,479.5,0.06213953488372093,0.308506883162725
,128,simplified_jordan_reference,7,2097542.0,2073604.5,2127146.0,53541.5,0.01405860532981505,0.021370418391591362
,128,simplified_jordan_paper_ordinary_list,7,2813291.0,2481146.0,2876062.5,394916.5,0.015869682799802994,0.023181301406586266
,256,python_sort,7,5104.0,4771.0,5271.0,500.0,0.04075235109717868,0.3232026828757074
,256,simplified_jordan_reference,7,7948854.5,7810083.5,7965854.0,155770.5,0.005574019079411966,0.01013240335447076
,256,simplified_jordan_paper_ordinary_list,7,6385750.0,6289229.0,6827917.0,538688.0,0.014137980983042595,0.02674249606089929
,512,python_sort,7,10770.5,10458.0,11270.5,812.5,0.09562057754828839,0.2687208885704049
,512,simplified_jordan_reference,7,33270541.5,32949645.5,33278187.5,328542.0,0.003180471070768433,0.0050258964384965275
,512,simplified_jordan_paper_ordinary_list,7,18768583.5,17892771.0,18936666.0,1043895.0,0.012092766096524677,0.01573261067276835
