case_id,family,n,algorithm,measured_run_count,median_time_ns,q1_time_ns,q3_time_ns,iqr_time_ns,mean_time_ns,stdev_time_ns,all_correct,error_count
flat_valid_n128_001,flat_valid,128,python_sort,20,500.0,458.5,521.0,62.5,508.4,71.03327611612373,True,0
flat_valid_n128_001,flat_valid,128,simplified_jordan_paper_ordinary_list,20,1731396.0,1728729.0,1737312.5,8583.5,1734181.25,12042.190663946578,True,0
flat_valid_n128_001,flat_valid,128,simplified_jordan_reference,20,1883896.0,1871833.0,1906520.5,34687.5,1890043.75,28065.739021606885,True,0
flat_valid_n256_001,flat_valid,256,python_sort,20,708.5,687.5,791.0,103.5,758.2,126.37396467377457,True,0
flat_valid_n256_001,flat_valid,256,simplified_jordan_paper_ordinary_list,20,3628875.0,3602833.5,3660271.0,57437.5,3633410.45,41689.15818856328,True,0
flat_valid_n256_001,flat_valid,256,simplified_jordan_reference,20,7119667.0,7111354.0,7145646.0,34292.0,7127543.8,26250.17853894171,True,0
flat_valid_n32_001,flat_valid,32,python_sort,20,291.0,250.0,292.0,42.0,291.65,72.96089435624509,True,0
flat_valid_n32_001,flat_valid,32,simplified_jordan_paper_ordinary_list,20,412271.0,408646.0,414604.0,5958.0,413366.6,7795.057498859538,True,0
flat_valid_n32_001,flat_valid,32,simplified_jordan_reference,20,161624.5,160375.0,164937.0,4562.0,166199.8,15214.0209142405,True,0
flat_valid_n512_001,flat_valid,512,python_sort,20,1250.0,1166.5,1333.5,167.0,1245.85,112.23203173501058,True,0
flat_valid_n512_001,flat_valid,512,simplified_jordan_paper_ordinary_list,20,8109708.5,8059145.5,8152646.5,93501.0,8110514.65,64490.38227949392,True,0
flat_valid_n512_001,flat_valid,512,simplified_jordan_reference,20,28821146.0,28771291.5,28858375.0,87083.5,28813104.05,77831.08470099984,True,0
flat_valid_n64_001,flat_valid,64,python_sort,20,333.0,333.0,334.0,1.0,329.3,26.667741206420757,True,0
flat_valid_n64_001,flat_valid,64,simplified_jordan_paper_ordinary_list,20,833541.5,831416.0,843104.5,11688.5,837004.15,7021.303704666099,True,0
flat_valid_n64_001,flat_valid,64,simplified_jordan_reference,20,518041.5,515541.5,523500.0,7958.5,521395.8,11281.91869460062,True,0
incremental_valid_n128_001,incremental_valid,128,python_sort,20,2708.0,2645.5,2771.0,125.5,2847.85,432.76422108653065,True,0
incremental_valid_n128_001,incremental_valid,128,simplified_jordan_paper_ordinary_list,20,2826979.0,2811875.0,2851958.5,40083.5,2834206.25,29290.90460926305,True,0
incremental_valid_n128_001,incremental_valid,128,simplified_jordan_reference,20,2116125.5,2106562.5,2130625.0,24062.5,2122018.65,26368.36214556137,True,0
incremental_valid_n128_002,incremental_valid,128,python_sort,20,2625.0,2604.5,2687.5,83.0,2741.7,373.96539383942155,True,0
incremental_valid_n128_002,incremental_valid,128,simplified_jordan_paper_ordinary_list,20,2850813.0,2839979.5,2886771.0,46791.5,2865304.1,38689.83072142642,True,0
incremental_valid_n128_002,incremental_valid,128,simplified_jordan_reference,20,2063229.0,2056813.0,2068916.5,12103.5,2068275.1,22465.77701140817,True,0
incremental_valid_n128_003,incremental_valid,128,python_sort,20,2521.0,2500.0,2583.0,83.0,2533.35,58.27997308817065,True,0
incremental_valid_n128_003,incremental_valid,128,simplified_jordan_paper_ordinary_list,20,2846520.5,2835875.0,2885958.5,50083.5,2859543.65,35145.65926521854,True,0
incremental_valid_n128_003,incremental_valid,128,simplified_jordan_reference,20,2090833.5,2086687.5,2097979.0,11291.5,2095410.4,15438.158246439414,True,0
incremental_valid_n128_004,incremental_valid,128,python_sort,20,2500.0,2458.5,2583.0,124.5,2658.35,425.1630368396774,True,0
incremental_valid_n128_004,incremental_valid,128,simplified_jordan_paper_ordinary_list,20,2874020.5,2853833.0,2923479.0,69646.0,2896514.6,64456.9244415459,True,0
incremental_valid_n128_004,incremental_valid,128,simplified_jordan_reference,20,2094062.5,2076208.0,2120645.5,44437.5,2099279.2,25372.099097029273,True,0
incremental_valid_n128_005,incremental_valid,128,python_sort,20,2708.0,2583.5,2750.0,166.5,2747.95,373.8424203633904,True,0
incremental_valid_n128_005,incremental_valid,128,simplified_jordan_paper_ordinary_list,20,3010145.5,2975125.5,3031917.0,56791.5,3011216.75,38700.26138341622,True,0
incremental_valid_n128_005,incremental_valid,128,simplified_jordan_reference,20,2107937.5,2100687.5,2123729.0,23041.5,2113929.15,18239.503947187644,True,0
incremental_valid_n128_006,incremental_valid,128,python_sort,20,2625.0,2583.0,2667.0,84.0,2768.65,468.0292697774585,True,0
incremental_valid_n128_006,incremental_valid,128,simplified_jordan_paper_ordinary_list,20,2660374.5,2628666.5,2688354.0,59687.5,2660502.05,32184.302923654865,True,0
incremental_valid_n128_006,incremental_valid,128,simplified_jordan_reference,20,2052854.0,2035916.5,2059292.0,23375.5,2051245.9,16551.5033500697,True,0
incremental_valid_n128_007,incremental_valid,128,python_sort,20,2833.0,2791.5,2854.5,63.0,2875,195.10887648748974,True,0
incremental_valid_n128_007,incremental_valid,128,simplified_jordan_paper_ordinary_list,20,2862437.5,2849750.0,2884041.5,34291.5,2866266.65,27727.287435940485,True,0
incremental_valid_n128_007,incremental_valid,128,simplified_jordan_reference,20,2087938.0,2074333.5,2106625.0,32291.5,2090227.3,19461.249119048967,True,0
incremental_valid_n128_008,incremental_valid,128,python_sort,20,2667.0,2583.0,2750.0,167.0,2802,476.8541650618584,True,0
incremental_valid_n128_008,incremental_valid,128,simplified_jordan_paper_ordinary_list,20,2781083.5,2766687.5,2815020.5,48333.0,2798245.85,46333.02288668873,True,0
incremental_valid_n128_008,incremental_valid,128,simplified_jordan_reference,20,2065249.5,2056021.0,2077458.5,21437.5,2070089.7,20403.558392181447,True,0
incremental_valid_n128_009,incremental_valid,128,python_sort,20,2645.5,2583.5,2729.5,146.0,2677.1,132.8845561499074,True,0
incremental_valid_n128_009,incremental_valid,128,simplified_jordan_paper_ordinary_list,20,2803187.5,2785333.5,2836625.0,51291.5,2814245.85,44139.96396783281,True,0
incremental_valid_n128_009,incremental_valid,128,simplified_jordan_reference,20,2067979.5,2052396.0,2087083.5,34687.5,2073329.35,26447.260789959048,True,0
incremental_valid_n128_010,incremental_valid,128,python_sort,20,2645.5,2584.0,2687.5,103.5,2739.5,337.3491865770696,True,0
incremental_valid_n128_010,incremental_valid,128,simplified_jordan_paper_ordinary_list,20,2710041.5,2694146.0,2725541.5,31395.5,2714462.45,28393.80123691752,True,0
incremental_valid_n128_010,incremental_valid,128,simplified_jordan_reference,20,2066020.5,2046729.5,2074958.5,28229.0,2065475.1,21583.433200635987,True,0
incremental_valid_n256_001,incremental_valid,256,python_sort,20,5250.0,5208.5,5333.0,124.5,5425.05,575.8383796463069,True,0
incremental_valid_n256_001,incremental_valid,256,simplified_jordan_paper_ordinary_list,20,6865437.0,6830729.5,6907145.5,76416.0,6864793.7,51994.476422323736,True,0
incremental_valid_n256_001,incremental_valid,256,simplified_jordan_reference,20,7943042.0,7906479.0,7965958.0,59479.0,7938958.3,36590.11280904921,True,0
incremental_valid_n256_002,incremental_valid,256,python_sort,20,5000.0,4937.5,5062.5,125.0,5010.4,105.58030119297823,True,0
incremental_valid_n256_002,incremental_valid,256,simplified_jordan_paper_ordinary_list,20,6488562.0,6434292.0,6570708.0,136416.0,6500870.8,67491.40688663145,True,0
incremental_valid_n256_002,incremental_valid,256,simplified_jordan_reference,20,7812145.5,7782187.5,7852791.5,70604.0,7815393.65,36527.78739142515,True,0
incremental_valid_n256_003,incremental_valid,256,python_sort,20,5271.0,5209.0,5416.5,207.5,5395.9,467.90663711111387,True,0
incremental_valid_n256_003,incremental_valid,256,simplified_jordan_paper_ordinary_list,20,6837416.5,6767125.0,6915500.0,148375.0,6846179.2,84625.52400310441,True,0
incremental_valid_n256_003,incremental_valid,256,simplified_jordan_reference,20,7917708.0,7887541.5,7938687.5,51146.0,7911595.8,41447.83336550581,True,0
incremental_valid_n256_004,incremental_valid,256,python_sort,20,5229.5,5167.0,5396.0,229.0,5404.25,652.7428666787558,True,0
incremental_valid_n256_004,incremental_valid,256,simplified_jordan_paper_ordinary_list,20,6458916.5,6402125.0,6489291.5,87166.5,6451941.8,66155.34160364329,True,0
incremental_valid_n256_004,incremental_valid,256,simplified_jordan_reference,20,7842520.5,7794354.0,7899021.0,104667.0,7847568.8,53393.25361346299,True,0
incremental_valid_n256_005,incremental_valid,256,python_sort,20,5167.0,5125.0,5312.5,187.5,5408.35,647.2933342205184,True,0
incremental_valid_n256_005,incremental_valid,256,simplified_jordan_paper_ordinary_list,20,6923854.5,6831875.0,6972416.0,140541.0,6908197.95,78536.3186091733,True,0
incremental_valid_n256_005,incremental_valid,256,simplified_jordan_reference,20,7942687.5,7918062.0,7978875.0,60813.0,7948408.2,40506.65347634425,True,0
incremental_valid_n256_006,incremental_valid,256,python_sort,20,5250.0,5166.5,5458.0,291.5,5337.35,298.80239465678915,True,0
incremental_valid_n256_006,incremental_valid,256,simplified_jordan_paper_ordinary_list,20,6183229.5,6125625.0,6218000.5,92375.5,6178671,71835.40128728497,True,0
incremental_valid_n256_006,incremental_valid,256,simplified_jordan_reference,20,7760271.0,7748041.5,7806041.5,58000.0,7776050,41857.43432929901,True,0
incremental_valid_n256_007,incremental_valid,256,python_sort,20,5208.5,5104.0,5375.0,271.0,5314.55,405.2047533103026,True,0
