family,n,execution_mode,case_count,median_case_time_ns,median_over_minimal_ratio,all_cases_correct,total_error_count
flat_valid,32,checked,1,633583.0,1.1647645590284543,True,0
flat_valid,32,counters_only,1,549541.0,1.01026366006199,True,0
flat_valid,32,instrumented,1,626125.0,1.1510539416646137,True,0
flat_valid,32,minimal,1,543958.0,1.0,True,0
flat_valid,32,trace_only,1,617500.0,1.1351979380761015,True,0
flat_valid,64,checked,1,1310084.0,1.167589092030423,True,0
flat_valid,64,counters_only,1,1134625.0,1.011214375219466,True,0
flat_valid,64,instrumented,1,1321667.0,1.1779122350143756,True,0
flat_valid,64,minimal,1,1122042.0,1.0,True,0
flat_valid,64,trace_only,1,1270792.0,1.132570795032628,True,0
flat_valid,128,checked,1,2712375.0,1.159568214610164,True,0
flat_valid,128,counters_only,1,2352917.0,1.005896221877839,True,0
flat_valid,128,instrumented,1,2710667.0,1.1588380270400256,True,0
flat_valid,128,minimal,1,2339125.0,1.0,True,0
flat_valid,128,trace_only,1,2629791.0,1.1242627050713407,True,0
flat_valid,256,checked,1,5710833.0,1.1518225588755657,True,0
flat_valid,256,counters_only,1,4977083.0,1.0038319237834614,True,0
flat_valid,256,instrumented,1,5671208.0,1.143830560353556,True,0
flat_valid,256,minimal,1,4958084.0,1.0,True,0
flat_valid,256,trace_only,1,5537084.0,1.1167789815581988,True,0
incremental_valid,32,checked,3,1121333.0,1.50995859282949,True,0
incremental_valid,32,counters_only,3,753042.0,1.0140272681366773,True,0
incremental_valid,32,instrumented,3,839292.0,1.1301693317623296,True,0
incremental_valid,32,minimal,3,742625.0,1.0,True,0
incremental_valid,32,trace_only,3,821708.0,1.1064911631038545,True,0
incremental_valid,64,checked,3,4392250.0,2.5959553393433294,True,0
incremental_valid,64,counters_only,3,1724709.0,1.019356260996868,True,0
incremental_valid,64,instrumented,3,1905750.0,1.126357080756685,True,0
incremental_valid,64,minimal,3,1691959.0,1.0,True,0
incremental_valid,64,trace_only,3,1868334.0,1.1042430697197745,True,0
incremental_valid,128,checked,3,15844833.0,4.238853130016051,True,0
incremental_valid,128,counters_only,3,3788416.0,1.0134874264312466,True,0
incremental_valid,128,instrumented,3,4193500.0,1.121856607811664,True,0
incremental_valid,128,minimal,3,3738000.0,1.0,True,0
incremental_valid,128,trace_only,3,4081666.0,1.0919384697699304,True,0
incremental_valid,256,checked,3,77012959.0,8.427693094930305,True,0
incremental_valid,256,counters_only,3,9205500.0,1.0073775867433028,True,0
incremental_valid,256,instrumented,3,9983292.0,1.0924930316347532,True,0
incremental_valid,256,minimal,3,9138083.0,1.0,True,0
incremental_valid,256,trace_only,3,9862542.0,1.0792791004415259,True,0
nested_valid,32,checked,1,725959.0,1.1285061838169914,True,0
nested_valid,32,counters_only,1,642750.0,0.9991574588211886,True,0
nested_valid,32,instrumented,1,715959.0,1.1129611436175173,True,0
nested_valid,32,minimal,1,643292.0,1.0,True,0
nested_valid,32,trace_only,1,706583.0,1.0983861139264905,True,0
nested_valid,64,checked,1,1618250.0,1.1393118014608818,True,0
nested_valid,64,counters_only,1,1435250.0,1.010472586464842,True,0
nested_valid,64,instrumented,1,1593083.0,1.1215932412215084,True,0
nested_valid,64,minimal,1,1420375.0,1.0,True,0
nested_valid,64,trace_only,1,1565292.0,1.1020272815277656,True,0
nested_valid,128,checked,1,3704334.0,1.1139735136380284,True,0
nested_valid,128,counters_only,1,3349250.0,1.0071920595043986,True,0
nested_valid,128,instrumented,1,3712583.0,1.116454166709269,True,0
nested_valid,128,minimal,1,3325334.0,1.0,True,0
nested_valid,128,trace_only,1,3636250.0,1.0934991793305575,True,0
nested_valid,256,checked,1,9267875.0,1.0901671431801174,True,0
nested_valid,256,counters_only,1,8630041.0,1.0151396239696029,True,0
nested_valid,256,instrumented,1,9281917.0,1.091818883953977,True,0
nested_valid,256,minimal,1,8501334.0,1.0,True,0
nested_valid,256,trace_only,1,9203709.0,1.082619386557451,True,0
