case_id,family,n,execution_mode,measured_run_count,median_time_ns,q1_time_ns,q3_time_ns,iqr_time_ns,mean_time_ns,stdev_time_ns,median_over_minimal_ratio,all_correct,error_count
incremental_valid_n256_003,incremental_valid,256,checked,15,70953666,70682333,71107000,424667,70889905.46666667,324922.97407844366,7.98870335237988,True,0
incremental_valid_n256_003,incremental_valid,256,counters_only,15,8989042,8932958,9218958,286000,9054111.2,157634.98750331867,1.012080051791595,True,0
incremental_valid_n256_003,incremental_valid,256,instrumented,15,9822833,9767500,9943250,175750,9841513.933333334,105344.9818260168,1.1059569341627495,True,0
incremental_valid_n256_003,incremental_valid,256,minimal,15,8881750,8844458,9008750,164292,8918363.933333334,137163.8708195767,1.0,True,0
incremental_valid_n256_003,incremental_valid,256,trace_only,15,9617875,9590292,9719333,129041,9632533.333333334,122914.70127616763,1.0828806260027584,True,0
incremental_valid_n32_001,incremental_valid,32,checked,15,1121333,1115417,1127958,12541,1126555.5333333334,22164.05694190054,1.50995859282949,True,0
incremental_valid_n32_001,incremental_valid,32,counters_only,15,753042,747250,765292,18042,754336.0666666667,10976.968358904063,1.0140272681366773,True,0
incremental_valid_n32_001,incremental_valid,32,instrumented,15,839292,833750,855542,21792,855033.4,37852.34816041328,1.1301693317623296,True,0
incremental_valid_n32_001,incremental_valid,32,minimal,15,742625,728708,758583,29875,743944.4,16759.433065760735,1.0,True,0
incremental_valid_n32_001,incremental_valid,32,trace_only,15,821708,814583,831958,17375,826727.7333333333,28806.83427707159,1.1064911631038545,True,0
incremental_valid_n32_002,incremental_valid,32,checked,15,1116958,1112292,1128791,16499,1126761.0666666667,25269.621873666714,1.5480152229530644,True,0
incremental_valid_n32_002,incremental_valid,32,counters_only,15,732167,727333,743916,16583,744311.0666666667,34100.13342970683,1.0147254075299843,True,0
incremental_valid_n32_002,incremental_valid,32,instrumented,15,817625,813250,831208,17958,826222.2666666667,28263.981957018488,1.1331634194544462,True,0
incremental_valid_n32_002,incremental_valid,32,minimal,15,721542,720959,728875,7916,722386.3333333334,8861.522488236647,1.0,True,0
incremental_valid_n32_002,incremental_valid,32,trace_only,15,801959,800167,817167,17000,807330.6666666666,13289.555193387596,1.1114515856318827,True,0
incremental_valid_n32_003,incremental_valid,32,checked,15,1631458,1624833,1647375,22542,1641911.0666666667,31373.82234435642,2.030333199758071,True,0
